bowler_id,bowler_name,RAA,RAA_per_ball,balls_bowled,total_weighted_runs_against
27e71d47,K Upadhyay,-12.8516,-0.2295,56,4.972
7c3b3b78,VG Arora,-12.9921,-0.0188,690,103.0665
fdcb08c2,A Uniyal,-13.0953,-0.3446,38,9.635
a1d053dd,SS Cottrell,-13.1455,-0.1003,131,2.6387
b57f8a9a,BJ Hodge,-13.3665,-0.0562,238,-26.473
6ec424a9,ND Doshi,-13.427,-0.2356,57,4.7716
8b9704ae,L Ablish,-13.4551,-0.299,45,12.3239
3204c99f,G Coetzee,-13.5329,-0.0463,292,46.2
b52ffbbd,FA Allen,-13.5921,-0.1494,91,3.6161
5b16a806,A Dananjaya,-14.0471,-0.5619,25,11.5897
e0351c86,DNT Zoysa,-14.6715,-0.2126,69,8.3269
16043342,AB McDonald,-15.016,-0.0799,188,9.3353
1be70c88,LPC Silva,-15.2084,-2.5347,6,14.2603
1e030637,V Puthur,-15.4204,-0.2112,73,11.8003
1558d83b,GS Sandhu,-15.5727,-0.3244,48,12.7247
943fd425,I Malhotra,-15.7462,-2.6244,6,15.3386
acee4cc4,Imran Tahir,-16.0451,-0.0119,1343,-149.7642
1ee08e9a,JA Richardson,-16.1449,-0.1718,94,23.7219
798cc28e,KM Asif,-16.5494,-0.1157,143,26.6308
1da489ff,S Kaushik,-16.8861,-0.0804,210,-3.4712
9caf69a1,WG Jacks,-16.9,-0.1166,145,18.5625
b56dc5f7,BE Hendricks,-17.1473,-0.1092,157,9.6826
cd8d2859,DG Nalkande,-17.2554,-0.1939,89,19.8355
7d3720ba,RR Bhatkal,-17.3288,-1.4441,12,16.4577
78eb4223,KAJ Roach,-17.5642,-0.3378,52,13.3992
26d041c4,Sikandar Raza,-17.5843,-0.1998,88,17.1776
25228673,Harsh Dubey,-17.6523,-0.2894,61,17.859
3b53243a,XC Bartlett,-17.6898,-0.2948,60,24.5859
2e78f685,KR Sen,-17.6943,-0.0694,255,32.4273
30df8c66,Simarjeet Singh,-17.7088,-0.0692,256,43.289
e186f49c,Mashrafe Mortaza,-17.9736,-0.6419,28,13.6744
d92e42f5,KP Appanna,-18.0121,-0.0811,222,-22.2201
85b3fab2,T Stubbs,-18.2632,-0.4936,37,19.2599
94bc776b,D Kalyankrishna,-18.8671,-0.3773,50,14.526
7dc35884,Shakib Al Hasan,-19.205,-0.0127,1515,-190.552
1a2676c5,SA Abbott,-19.3774,-0.3284,59,20.0699
ce4cc4d5,R Ninan,-19.5482,-0.543,36,13.6244
fcc21ace,A Kamboj,-19.7625,-0.0998,198,37.8661
6ef60d3a,Kamran Khan,-19.8121,-0.1119,177,7.1043
9440ef41,Suyash Sharma,-19.8446,-0.0349,569,55.4519
dbc50253,AP Dole,-19.9357,-0.2731,73,11.7439
21d4e29b,NA Saini,-20.3036,-0.6768,30,26.6615
76388dc8,S Badree,-20.3929,-0.0775,263,-11.4572
aaa1b522,TL Suman,-20.9697,-0.138,152,-6.1816
c03c6200,DJG Sammy,-21.1989,-0.0869,244,6.4369
ee3dfa89,Sunny Gupta,-21.3208,-1.1221,19,18.2904
441c72ae,P Ray Barman,-21.4464,-0.8936,24,17.5436
6821ac10,JJ van der Wath,-21.5501,-0.2836,76,15.5041
62175638,Karim Janat,-22.0935,-3.6823,6,22.6167
fe93fd9d,RA Jadeja,-22.3081,-0.0054,4135,-418.1948
caf69bf7,DR Sams,-22.3384,-0.0574,389,5.8833
99ed60f8,JPR Scantlebury-Searles,-22.3721,-0.4972,45,24.4953
2815fe50,AA Jhunjhunwala,-22.5313,-0.256,88,9.6761
62af8546,Mohammad Nabi,-22.6948,-0.0542,419,-14.8185
d0513f63,CL White,-22.8354,-0.4964,46,16.9658
dddca1d6,SB Wagh,-22.9613,-0.2126,108,5.5109
59559bc2,J Overton,-22.9859,-0.5606,41,25.5008
d718440b,V Pratap Singh,-23.1104,-0.1095,211,15.0394
a24be938,VR Iyer,-23.2323,-0.2766,84,21.7259
eef2536f,Avesh Khan,-23.3053,-0.0138,1684,111.3221
93a17209,VY Mahesh,-23.4935,-0.0654,359,2.0543
f846de6a,MN Samuels,-23.9251,-0.1092,219,-11.5218
eade4650,DJ Mitchell,-24.0507,-0.4716,51,23.197
626c5379,R Sathish,-24.1152,-0.1675,144,18.7424
662c47a6,Y Nagar,-24.1692,-0.3357,72,14.8061
0604ef16,SB Bangar,-24.1816,-0.158,153,12.5115
d45c29b1,Ashwani Kumar,-24.1977,-0.1833,132,38.8649
de4b0555,R Shukla,-24.3416,-0.1872,130,18.2689
0164b064,MG Neser,-24.3932,-0.9757,25,23.6136
26e5cabf,MK Tiwary,-24.4045,-0.5423,45,17.6706
7210d461,Yash Dayal,-24.6425,-0.0268,920,134.5551
64a4c383,S Sriram,-24.6939,-1.3719,18,22.845
cf73ad76,JEC Franklin,-24.9237,-0.1608,155,15.9686
69be866a,Anureet Singh,-24.9576,-0.058,430,9.7471
36619795,Zeeshan Ansari,-25.0179,-0.1197,209,40.5879
cfad138c,CK Kapugedera,-26.0202,-1.5306,17,25.1032
f19ccfad,Washington Sundar,-26.034,-0.023,1131,-45.5249
aad0c365,Nithish Kumar Reddy,-27.0504,-0.178,152,34.9715
b0946605,AS Joseph,-27.0887,-0.0597,454,57.2761
cdc6bdba,S Sandeep Warrier,-27.2407,-0.1548,176,33.1687
2a72fd4f,Harmeet Singh,-27.4578,-0.05,549,-62.5279
