bowler_id,bowler_name,RAA,RAA_per_ball,balls_bowled,total_weighted_runs_against,is_replacement,VORP,VORP_per_ball,WAR,WAR_per_ball
64775749,RP Meredith,12.3442,0.0427,289,-13.0858,False,72.19893333333334,0.24982329873125725,0.647852335805666,0.0022417035841026506
21d4e29b,Navdeep Saini,-3.302,-0.0091,363,14.5208,False,71.87885882352941,0.19801338518878625,0.6449802571026335,0.0017768051159852162
e4a0deae,MJ Santner,28.566,0.1414,202,-50.9142,False,70.40218039215686,0.34852564550572707,0.6317297902767356,0.0031273751993897802
f19ccfad,Washington Sundar,-59.8624,-0.0956,626,3.2549,False,69.78833725490196,0.11148296686086576,0.6262216796727627,0.0010003541208830073
caf69bf7,DR Sams,4.3234,0.0139,312,-7.4891,False,68.94165882352942,0.22096685520361994,0.6186243015105602,0.0019827701971492314
81049310,J Yadav,-1.5676,-0.0047,332,-56.5576,False,67.19285490196079,0.2023881171745807,0.6029320100438208,0.0018160602712163278
75224f22,KMA Paul,28.6546,0.1592,180,-34.908,False,65.93436470588236,0.36630202614379087,0.5916393804234672,0.00328688544679704
5bb1a1c4,I Sharma,-70.7669,-0.1077,657,60.0116,False,65.3042411764706,0.09939762736144687,0.5859851833110142,0.0008919104768813002
69be866a,Anureet Singh,-17.0789,-0.0431,396,7.8781,False,64.93658235294117,0.16398126856803327,0.5826861231087891,0.0014714296038100736
ce794613,T Natarajan,-19.0021,-0.047,404,9.4351,False,64.67026078431373,0.16007490293146961,0.5802963779651298,0.0014363771731810144
529eb9e0,OC McCoy,24.7695,0.1432,173,-18.7925,False,60.59949607843137,0.3502861044996033,0.5437687687406931,0.003143172073645625
26a85969,R Dhawan,10.1834,0.0419,243,-15.8074,False,60.51108235294118,0.2490167998063423,0.5429754185354809,0.002234466742944366
94d7f855,C de Grandhomme,11.5975,0.0504,230,-4.8493,False,59.23275490196079,0.2575337169650469,0.5315047861201986,0.002310890374435646
641ac5ff,IS Sodhi,19.7635,0.1086,182,-31.4549,False,57.457484313725494,0.315700463262228,0.51557500510854,0.002832829698398572
e342e5fb,CR Brathwaite,1.2055,0.0045,266,-0.1332,False,56.296707843137256,0.21164175880878666,0.5051591760498626,0.0018990946468039947
5d2eea49,Kartik Tyagi,24.861,0.1691,147,-26.1438,False,55.30614117647059,0.37623225290116047,0.49627066621816746,0.0033759909266542006
ffe699c0,CJ Jordan,-23.1,-0.0629,367,26.8637,False,52.90929803921569,0.14416702463001552,0.4747634173802756,0.0012936332898645113
119678fd,KV Sharma,-72.4243,-0.1201,603,28.9607,False,52.46291176470588,0.08700317042239782,0.47075792343097295,0.0007806930736832055
7ca5e05d,RS Bopara,24.6823,0.2007,123,-32.9518,False,50.15680588235294,0.40777890961262553,0.4500648741915908,0.0036590640178178115
14f96089,A Zampa,3.4379,0.0153,225,-27.5474,False,50.03760588235294,0.22238935947712418,0.4489952739237932,0.001995534550772414
85aae393,Iqbal Abdulla,-15.5765,-0.0502,310,-8.3935,False,48.627539215686284,0.15686302972802027,0.43634252489460573,0.001407556531918083
3d8feaf8,MR Marsh,21.0639,0.1608,131,-21.5128,False,48.195284313725494,0.36790293369256105,0.43246383396428617,0.0033012506409487493
aa8d28ae,D Wiese,-12.6389,-0.0437,289,8.9648,False,47.215833333333336,0.16337658592848905,0.4236750669263492,0.0014660036917866755
f708a0bc,GB Hogg,-0.4312,-0.0019,225,-14.2991,False,46.168505882352946,0.2051933594771242,0.4142772336877551,0.001841232149723356
64839cb3,M Pathirana,34.2535,0.7136,48,-32.0463,False,44.1947705882353,0.9207243872549021,0.39656659778884706,0.00826180412060098
6aed7e79,PV Tambe,-18.217,-0.0605,301,0.1644,False,44.12305098039216,0.14658820923718324,0.39592304651573157,0.001315358958524025
c05edf8e,Harpreet Brar,-12.3512,-0.0456,271,-30.8312,False,43.7755568627451,0.16153342015773098,0.3928049273773642,0.0014494646766692407
896d78ad,AD Mathews,-1.239,-0.0057,216,-0.5655,False,43.49671764705883,0.20137369281045756,0.39030285942626936,0.0018069576825290247
0994d0ae,V Shankar,7.6367,0.0455,168,-18.6206,False,42.43114705882353,0.25256635154061624,0.3807413276600467,0.002266317426547897
f24c6701,M Theekshana,-2.5773,-0.0122,212,-18.3436,False,41.32997843137255,0.19495272844987052,0.37086036911296705,0.0017493413637404106
7210d461,Yash Dayal,-3.8112,-0.0186,205,1.5126,False,38.64630980392157,0.1885185844093735,0.34677939023208093,0.001691606781619907
808f425a,JP Faulkner,-76.1375,-0.1377,553,75.6885,True,38.39422156862746,0.0694289720951672,0.34451736301749025,0.0006229970398146297
62af8546,Mohammad Nabi,-28.3147,-0.0888,319,-12.3333,False,37.75332745098039,0.11834898887454669,0.3387665197300304,0.0010619640116928853
ad427b5c,Lalit Yadav,-3.6576,-0.0189,194,-5.2248,False,36.52170196078431,0.18825619567414595,0.3277149513228148,0.0016892523264062619
a757b0d8,KA Pollard,-26.245,-0.0869,302,12.2575,False,36.30216078431373,0.12020583041163486,0.3257449739642113,0.0010786257416033488
871e9faf,Basil Thampi,-70.5188,-0.1369,515,76.9221,True,36.14274901960785,0.07018009518370456,0.32431454723418196,0.0006297369849207416
81c36ee9,M Jansen,-13.8031,-0.0573,241,6.1201,False,36.110362745098044,0.1498355300626475,0.3240239401210221,0.001344497676850714
a9fd84fb,M Markande,-40.4352,-0.1108,365,28.1201,False,35.159878431372555,0.09632843405855494,0.31549509551952704,0.000864370124711033
e412cb64,HF Gurney,-1.8769,-0.0111,169,1.713,False,33.1246568627451,0.19600388676180533,0.297232733650136,0.001758773571894296
b0946605,AS Joseph,-16.6728,-0.0695,240,18.1231,False,33.03355294117648,0.13763980392156866,0.2964152438942031,0.0012350635162258461
c7a995d3,R Sai Kishore,12.52,0.1278,98,-20.7283,False,32.81676078431373,0.334864905962385,0.29446993391906195,0.003004795244072061
db584dad,CH Gayle,16.0858,0.2062,78,-20.9297,False,32.24036470588236,0.4133380090497738,0.2892978416384605,0.0037089466876725707
fb2d1dda,N Rana,7.7622,0.0658,118,-17.9163,False,32.201156862745094,0.272891159853772,0.2889460235216872,0.0024486951145905695
73ad96ed,DJ Hooda,-41.6748,-0.1181,353,-5.2453,False,31.434960784313738,0.08905088040882078,0.28207082611669004,0.0007990674960812749
d8b2f218,BB Sran,-75.595,-0.1465,516,63.134,True,31.273658823529416,0.060607865937072514,0.28062343836122705,0.0005438438727930757
1da489ff,S Kaushik,-14.6878,-0.0699,210,-4.5932,False,28.805258823529417,0.1371678991596639,0.2584740985874718,0.0012308290408927227
24d94623,Ankit Sharma,-6.3437,-0.0378,168,-16.5384,False,28.45074705882353,0.16934968487394958,0.25529300900301855,0.0015196012440655865
11614d87,D Pretorius,-1.1903,-0.0086,138,3.7165,False,27.390852941176473,0.19848444160272807,0.24578241309637083,0.001781031978959209
6834d1f2,B Stanlake,-4.1094,-0.0274,150,4.9534,False,26.957070588235293,0.17971380392156863,0.2418900161091916,0.0016126001073946108
76388dc8,S Badree,-4.4134,-0.0292,151,3.4773,False,26.860180392156863,0.1778819893520322,0.24102060520589924,0.0015961629483834388
18e6906e,A Choudhary,4.1635,0.0386,108,-2.4384,False,26.531358823529413,0.24566072984749457,0.2380700377741748,0.0022043522016127297
41eb4a4f,R Vinay Kumar,-49.7935,-0.1357,367,50.8382,True,26.21579803921569,0.07143269220494738,0.23523846143685617,0.0006409767341603711
30df8c66,Simarjeet Singh,2.3319,0.0206,113,-1.0281,False,25.735307843137257,0.22774608710740935,0.23092694765833585,0.002043601306710937
2e8994e7,JP Duminy,-9.269,-0.0552,168,-11.7171,False,25.52544705882353,0.15193718487394958,0.22904383397459274,0.001363356154610671
012829ff,JW Hastings,16.6671,0.3968,42,-17.0591,False,25.365711764705885,0.603945518207283,0.22761050416448397,0.005419297718202
9a0146b3,P Sahu,2.2387,0.0209,107,-10.4827,False,24.399449019607847,0.22803223382811072,0.21894007722723802,0.0020461689460489533
c695b423,PH Solanki,16.6262,0.4618,36,-17.1997,False,24.08215294117647,0.6689486928104575,0.2160929298240389,0.006002581384001081
e0407c01,IC Pandey,-15.0982,-0.0799,189,2.6976,False,24.045552941176474,0.12722514783691255,0.21576451229214808,0.0011416111761489317
6eb146d2,Gurkeerat Singh,6.4479,0.0786,82,-16.512,False,23.43090392156863,0.28574273075083695,0.21024917037961374,0.002564014272922119
9a963804,LE Plunkett,-8.7639,-0.0569,154,8.1602,False,23.13100980392157,0.1502013623631271,0.20755817349583672,0.001347780347375563
f18ba07f,Ankit Soni,-0.162,-0.0014,112,-3.9512,False,23.034298039215688,0.20566337535014007,0.20669036368519417,0.0018454496757606621
1dc12ab9,SK Raina,-22.2059,-0.1023,217,-6.6071,False,22.736927450980396,0.10477846751603868,0.2040220108260364,0.0009401935982766655
a316d663,GC Viljoen,-7.8436,-0.0537,146,12.8083,False,22.394431372549022,0.15338651625033575,0.20094873987628953,0.0013763612320293803
90de905a,K Gowtham,-69.0799,-0.1577,438,24.0663,True,21.63419411764707,0.049393137254901985,0.19412701192802737,0.0004432123560000625
e94915e6,SM Curran,-64.6287,-0.1554,416,61.919,True,21.52897843137255,0.05175235199849171,0.19318289509735845,0.0004643819593686501
cdc6bdba,S Sandeep Warrier,2.6295,0.0309,85,-3.5756,False,20.233833333333333,0.2380450980392157,0.18156135530122158,0.002136015944720254
765a4731,Mukesh Choudhary,-40.1846,-0.1381,291,42.6794,True,20.08435294117647,0.06901839498686071,0.18022004433241726,0.0006193128671217088
d014d5ac,SE Rutherford,10.2145,0.2221,46,-13.2554,False,19.741550980392155,0.42916415174765554,0.1771440286524135,0.0038509571446176845
4125d931,J Suchith,-70.1883,-0.1617,434,21.7731,True,19.697354901960793,0.04538561037318155,0.17674745031914346,0.00040725218967544574
9eb1455b,NT Ellis,-3.1752,-0.0294,108,-4.9623,False,19.192658823529413,0.17770980392156865,0.17221873336741014,0.001594617901550094
be24ead0,Ramandeep Singh,10.4453,0.2548,41,-10.5322,False,18.936801960784315,0.461873218555715,0.16992288966850064,0.004144460723621967
b822e99c,NB Singh,13.3007,0.532,25,-12.5664,False,18.478445098039217,0.7391378039215687,0.16580998175626044,0.006632399270250417
b56dc5f7,BE Hendricks,1.4389,0.0175,82,-4.5438,False,18.421903921568628,0.22465736489717839,0.16530262892493047,0.002015885718596713
66b30f71,AB Dinda,-41.7218,-0.1439,290,31.6677,True,18.340043137254902,0.06324152805949966,0.16456807928714454,0.0005674761354729122
327b58d3,PVD Chameera,-39.3061,-0.1414,278,26.7833,True,18.270425490196082,0.06572095500070534,0.16394338923733284,0.0005897244217170246
c18496e1,Bipul Sharma,-28.8512,-0.1277,226,1.4594,False,17.955615686274513,0.0794496269304182,0.1611185515646833,0.0007129139449764748
d167edd3,SM Boland,8.2518,0.1919,43,-8.7815,False,17.157521568627452,0.399012129502964,0.15395712805828232,0.003580398326936798
1c2a64cd,A Ashish Reddy,3.9081,0.0651,60,-6.7119,False,16.33468823529412,0.2722448039215687,0.1465737156951436,0.0024428952615857267
cedc1d9a,P Suyal,2.126,0.0317,67,-2.2489,False,16.0023568627451,0.23884114720515073,0.1435916542431639,0.002143159018554685
2c76b512,DJ Muthuswami,-1.502,-0.0179,84,-2.9654,False,15.895223529411764,0.18922885154061625,0.14263033006511536,0.0016979801198228018
f9e6e7ef,Shahbaz Ahmed,-48.0119,-0.1579,304,13.1414,True,14.949480392156872,0.04917592234262129,0.13414402878260204,0.0004412632525743488
e4cdf230,AS Roy,2.2277,0.0391,57,-8.0152,False,14.032958823529412,0.24619226006191952,0.1259199372117445,0.002209121705469202
f29185a1,Abhishek Sharma,-7.3411,-0.0734,100,-13.3673,False,13.369880392156862,0.13369880392156863,0.11997003060296176,0.0011997003060296176
35205dfc,DR Smith,-29.5736,-0.1429,207,36.5343,True,13.298129411764705,0.06424217107132708,0.11932619781905075,0.0005764550619277814
fa2f1dde,K Khejroliya,-8.174,-0.0809,101,15.6166,False,12.744090196078432,0.1261791108522617,0.11435471716914791,0.001132224922466811
f6d8a7ab,K Kartikeya,-3.646,-0.0467,78,-3.9669,False,12.508564705882353,0.1603662141779789,0.1122413100601975,0.0014389911546179167
1a156c88,DJM Short,8.2122,0.4562,18,-10.0691,False,11.940176470588234,0.6633431372549019,0.10714107341016728,0.005952281856120404
c8179c68,SB Jakati,-20.2012,-0.1303,155,10.9441,True,11.90081960784314,0.07677948134092348,0.10678791811711504,0.0006889543104330002
c6097d68,O Thomas,-1.204,-0.0191,63,-3.9974,False,11.843917647058824,0.18799869281045753,0.1062773279116359,0.0016869417128831095
7f048519,DJ Willey,-14.6759,-0.1156,127,10.783,False,11.627045098039217,0.0915515362050332,0.10433129656508117,0.0008215062721659935
d9273ee7,MP Stoinis,-90.2063,-0.1837,491,98.5995,True,11.484613725490206,0.023390251986741765,0.10305323755315833,0.0002098843942019518
da934ee8,MK Lomror,-3.813,-0.0522,73,-5.9268,False,11.30601568627451,0.15487692720923985,0.10145064937720834,0.0013897349229754566
d4eef961,M de Lange,5.9129,0.2274,26,-9.2488,False,11.297754901960783,0.43452903469079934,0.10137652406584777,0.003899097079455683
b410bd3d,S Lamichhane,-32.6736,-0.1549,211,25.697,True,11.026568627450985,0.052258619087445425,0.09894312715444914,0.0004689247732438348
b2a79f17,B Laughlin,-17.1348,-0.1279,134,16.357,False,10.617913725490197,0.07923816213052386,0.09527620272010295,0.0007110164382097236
e9c7f0d0,Fazalhaq Farooqi,-5.713,-0.0752,76,5.8888,False,10.027345098039216,0.1319387512899897,0.08997693793759927,0.001183907078126306
245c97cb,TS Mills,-35.1446,-0.1612,218,41.3047,True,10.005337254901967,0.045896042453678745,0.08977945811450154,0.00041183237667202544
60500956,RV Patel,5.5099,0.2755,20,-7.4697,False,9.652096078431374,0.4826048039215687,0.08660976971726923,0.004330488485863462
983f2f61,Swapnil Singh,-3.0777,-0.0505,61,1.0223,False,9.555998039215687,0.1566557055609129,0.08574746696156517,0.0014056961796977898
b2b23612,RG More,1.7196,0.0465,37,-1.0626,False,9.38266274509804,0.2535854795972443,0.08419210222157344,0.0022754622222046876
4933f499,JP Behrendorff,-15.1278,-0.1293,117,14.6104,True,9.104047058823529,0.07781236802413273,0.081692040034897,0.000698222564400829
2af1b6d2,AN Ahmed,-7.875,-0.1036,76,12.072,False,7.865345098039217,0.10349138286893707,0.07057697334885397,0.0009286443861691312
8abdf100,CJ Anderson,-33.9032,-0.1687,201,37.3866,True,7.725870588235296,0.038437167105648234,0.06932544672941425,0.00034490272004683705
2e78f685,KR Sen,-24.9806,-0.1591,157,24.3178,True,7.5356392156862775,0.04799770201074062,0.0676184708315792,0.000430690897016428
7c503806,J Botha,-5.3127,-0.0857,62,3.4432,False,7.5281078431372555,0.12142109424414928,0.06755089064621579,0.0010895304942938032
9d80c5e1,S Nadeem,-78.8549,-0.19,415,37.9957,True,7.095668627450976,0.017097996692652957,0.06367054583997223,0.00015342300202402946
ba607b88,V Kohli,2.8085,0.1478,19,-3.043,False,6.743586274509804,0.3549255933952528,0.06051125574775165,0.003184802934092192
f0f628c7,MM Patel,-1.9658,-0.0468,42,1.412,False,6.7328117647058825,0.16030504201680673,0.06041457438389543,0.0014384422472356055
872b03f7,A Badoni,4.2036,0.3503,12,-4.8034,False,6.688917647058823,0.5574098039215686,0.06002070559203272,0.005001725466002727
626c5379,R Sathish,-1.2666,-0.0333,38,0.919,False,6.603572549019608,0.17377822497420023,0.05925489066151294,0.001559339227934551
be869ccf,GHS Garton,-13.6699,-0.1409,97,-1.6197,True,6.419750980392157,0.06618299979785729,0.057605430938099354,0.0005938704220422614
4ec07775,RN ten Doeschate,4.8189,0.6884,7,-4.3587,False,6.268668627450981,0.8955240896358544,0.056249745324295865,0.008035677903470838
4b57e452,M Vijay,-0.4513,-0.0146,31,-4.7209,False,5.969103921568628,0.19255173940543963,0.053561704303872394,0.0017277969130281418
c03c6200,DJG Sammy,2.1938,0.1219,18,-1.1817,False,5.921776470588235,0.3289875816993464,0.05313702767431865,0.002952057093017703
